NEIGHBOURHOOD,NEIGHBOURHOOD_140,NEIGHBOURHOOD_158
O'Connor-Parkview,,2425.0
O'Connor-Parkview (54),2430.0,
Oakdale-Beverley Heights,,5022.0
Oakridge,,2934.0
Oakridge (121),2934.0,
Oakwood Village,,2504.0
Oakwood Village (107),2359.0,
Old East York,,910.0
Old East York (58),954.0,
Palmerston-Little Italy,,2143.0
Palmerston-Little Italy (80),2114.0,
Parkwoods-Donalda (45),3075.0,
Parkwoods-O'Connor Hills,,1203.0
Pelmo Park-Humberlea,,1771.0
Pelmo Park-Humberlea (23),1755.0,
Playter Estates-Danforth,,1446.0
Playter Estates-Danforth (67),1535.0,
Pleasant View,,997.0
Pleasant View (46),1010.0,
Princess-Rosethorn,,1111.0
Princess-Rosethorn (10),1083.0,
Regent Park,,2446.0
Regent Park (72),2506.0,
Rexdale-Kipling,,1474.0
Rexdale-Kipling (4),1499.0,
Rockcliffe-Smythe,,2845.0
Rockcliffe-Smythe (111),2840.0,
Roncesvalles,,2542.0
Roncesvalles (86),2717.0,
Rosedale-Moore Park,,3748.0
Rosedale-Moore Park (98),3864.0,
Rouge (131),4038.0,
Runnymede-Bloor West Village,,1142.0
Runnymede-Bloor West Village (89),1186.0,
Rustic,,1179.0
Rustic (28),1255.0,
Scarborough Village,,2589.0
Scarborough Village (139),2589.0,
South Eglinton-Davisville,,1958.0
South Parkdale,,4294.0
South Parkdale (85),4088.0,
South Riverdale,,5859.0
South Riverdale (70),5799.0,
St Lawrence-East Bayfront-The Islands,,6004.0
St.Andrew-Windfields,,2016.0
St.Andrew-Windfields (40),2069.0,
Steeles,,1367.0
Steeles (116),1358.0,
Stonegate-Queensway,,2566.0
Stonegate-Queensway (16),2503.0,
Tam O'Shanter-Sullivan,,2572.0
Tam O'Shanter-Sullivan (118),2530.0,
Taylor-Massey,,2051.0
Taylor-Massey (61),2048.0,
The Beaches,,2454.0
The Beaches (63),2433.0,
Thistletown-Beaumond Heights,,1366.0
Thistletown-Beaumond Heights (3),1366.0,
Thorncliffe Park,,1968.0
Thorncliffe Park (55),1954.0,
Trinity-Bellwoods,,3023.0
Trinity-Bellwoods (81),3030.0,
University,,3301.0
University (79),3329.0,
Victoria Village,,1992.0
Victoria Village (43),1976.0,
Waterfront Communities-The Island (77),18089.0,
Wellington Place,,8460.0
West Hill,,6032.0
West Hill (136),6032.0,
West Humber-Clairville,,10795.0
West Humber-Clairville (1),10764.0,
West Queen West,,2503.0
West Rouge,,1682.0
Westminster-Branson,,2123.0
Westminster-Branson (35),2117.0,
Weston,,3658.0
Weston (113),3663.0,
Weston-Pelham Park,,1633.0
Weston-Pellam Park (91),1633.0,
Wexford/Maryvale,,4666.0
Wexford/Maryvale (119),4746.0,
Willowdale East (51),4348.0,
Willowdale West,,1978.0
Willowdale West (37),1918.0,
Willowridge-Martingrove-Richview,,2245.0
Willowridge-Martingrove-Richview (7),2266.0,
Woburn (137),6706.0,
Woburn North,,3301.0
Woodbine Corridor,,1718.0
Woodbine Corridor (64),1675.0,
Woodbine-Lumsden,,722.0
Woodbine-Lumsden (60),721.0,
Wychwood,,1687.0
Wychwood (94),1665.0,
Yonge-Bay Corridor,,9603.0
Yonge-Doris,,1660.0
Yonge-Eglinton,,1678.0
Yonge-Eglinton (100),1674.0,
Yonge-St.Clair,,940.0
Yonge-St.Clair (97),940.0,
York University Heights,,7776.0
York University Heights (27),7830.0,
Yorkdale-Glen Park,,4276.0
Yorkdale-Glen Park (31),4277.0,
